"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","group","feature"
0.0655140139313725,-0.102947221415506,0.931,0.931,1,"Th0","EIF3I"
0.065775435380337,-0.143521128990107,0.718,0.756,1,"Th0","ATRAID"
0.065963693718178,-0.118463264205655,0.55,0.603,1,"Th0","PPIE"
0.0662336980305089,0.191015969901617,0.702,0.621,1,"Th0","TIMM8B"
0.0671629615142027,-0.143325891754097,0.504,0.545,1,"Th0","CTSB"
0.0673652520443562,-0.190316702044733,0.473,0.526,1,"Th0","RP11-798M19.6"
0.0677300247872631,-0.106227771811597,0.328,0.388,1,"Th0","UROD"
0.0690308194005484,-0.205490912454646,0.901,0.876,1,"Th0","PDIA6"
0.0691472450596758,-0.247803136400823,0.351,0.407,1,"Th0","GADD45A"
0.0692874233022711,-0.103776390214143,0.557,0.64,1,"Th0","MRPL10"
0.0693785724814906,-0.123766523040175,0.725,0.772,1,"Th0","CYC1"
0.0697561396208183,-0.114716783590431,0.763,0.806,1,"Th0","PPP2R2A"
0.0698956901671998,-0.128532955661989,0.931,0.971,1,"Th0","SNRPF"
0.0699871290133846,0.12354027764728,0.527,0.448,1,"Th0","NUMA1"
0.0708334565959142,0.174720756030099,0.847,0.791,1,"Th0","ANKRD12"
0.070951459648539,-0.112183065927477,0.42,0.473,1,"Th0","DCTD"
0.0713565691605179,0.113782512059117,0.595,0.513,1,"Th0","EHD4"
0.0718519368402077,-0.103831048916508,0.901,0.891,1,"Th0","EIF2A"
0.07191500199362,-0.10118953154692,0.206,0.275,1,"Th0","STC2"
0.0720799672870355,-0.105399936775607,0.771,0.803,1,"Th0","FXR1"
0.0723405112968422,-0.112835339904847,0.336,0.414,1,"Th0","VEZT"
0.0724502670529196,-0.139919413417326,0.733,0.757,1,"Th0","PCMT1"
0.0727393233485557,-0.136320641676693,0.863,0.855,1,"Th0","RAB7A"
0.0727456852057615,-0.165590213108497,0.901,0.918,1,"Th0","TSPO"
0.0728528856382822,-0.122165134213552,0.588,0.642,1,"Th0","LINC00116"
0.0734606118428438,-0.103169627661901,0.298,0.371,1,"Th0","MIAT"
0.0736618105929292,-0.165895606359233,0.702,0.74,1,"Th0","SELL"
0.0746982718261031,0.123854187075875,0.534,0.45,1,"Th0","RNF8"
0.074853117112337,0.105584449514927,0.344,0.268,1,"Th0","DUSP10"
0.0748822731868445,-0.117799182425293,0.779,0.806,1,"Th0","POLR2J"
0.0749198611131099,-0.101324691113979,0.519,0.568,1,"Th0","UPF3A"
0.0749647845949195,-0.112095961615082,0.282,0.345,1,"Th0","MKRN2"
0.0749703785721071,-0.105507209043219,0.771,0.82,1,"Th0","TUFM"
0.0750790163699926,-0.14257020384865,0.519,0.554,1,"Th0","SLC39A1"
0.0756086950235556,-0.146097979929431,0.504,0.554,1,"Th0","DYNLT3"
0.0758182420192641,-0.320473417790404,0.366,0.427,1,"Th0","LINC01588"
0.0758943327273896,0.113741152040382,0.443,0.365,1,"Th0","PGAP1"
0.0760788985197363,-0.13424902363381,0.618,0.659,1,"Th0","MLF2"
0.0761462663353707,-0.14470437220579,0.634,0.669,1,"Th0","WDR45B"
0.0763423691698463,-0.143655599844354,0.42,0.465,1,"Th0","SAP30"
0.0765571629118694,0.117134553013588,0.863,0.809,1,"Th0","SEPT9"
0.0765636576614703,0.111134549675303,0.382,0.308,1,"Th0","PRC1"
0.0766113442317086,-0.10486451262025,0.374,0.444,1,"Th0","ZNF511"
0.0774884315797012,-0.135322345297078,0.664,0.686,1,"Th0","CPNE3"
0.0775308630702762,-0.322347421392911,0.962,0.971,1,"Th0","VIM"
0.077559620830669,0.158819106055156,0.664,0.662,1,"Th0","WARS"
0.0778662894207222,0.122919365664424,0.939,0.929,1,"Th0","UQCR11"
0.078311189391304,0.113120420772448,0.786,0.762,1,"Th0","SNX5"
0.0783562280210704,-0.122915277675873,0.733,0.739,1,"Th0","POLR2E"
0.0784702428388001,-0.113236072277274,0.313,0.365,1,"Th0","NSUN5"
0.0793379743088403,0.183491220839436,0.321,0.25,1,"Th0","ASPM"
0.0797287441805507,-0.124972370525399,0.611,0.649,1,"Th0","ESF1"
0.0800029693472641,0.229020256363933,0.733,0.712,1,"Th0","RAD50"
0.0801318467637363,-0.106811962066065,0.977,0.99,1,"Th0","PCBP1"
0.0804365607620297,-0.112572771070192,0.427,0.488,1,"Th0","RNF138"
0.080522825646891,-0.104983971910606,0.954,0.979,1,"Th0","HSPD1"
0.0806029604857002,-0.126280768422502,0.466,0.556,1,"Th0","UCHL3"
0.0810938485181032,-0.110077809498444,0.366,0.435,1,"Th0","YIPF6"
0.0813360564139053,-0.101431996111706,0.71,0.795,1,"Th0","CLPP"
0.0813851970799657,-0.125247044641008,0.527,0.571,1,"Th0","CCDC90B"
0.0813871963698434,-0.236707812579362,0.893,0.908,1,"Th0","RPL22L1"
0.0814938099024217,-0.128664318014123,0.229,0.288,1,"Th0","KIF21A"
0.0815047733572593,0.133884154556535,0.84,0.819,1,"Th0","HNRNPD"
0.0816222386285277,0.120481808793128,0.695,0.617,1,"Th0","IL16"
0.0819283961677238,-0.174039783500416,0.351,0.398,1,"Th0","AHR"
0.0819826902900891,-0.123641006804158,0.863,0.904,1,"Th0","YWHAE"
0.0821133718271333,0.12091648675848,0.855,0.792,1,"Th0","UGP2"
0.0822605129304714,-0.122768559068059,0.924,0.951,1,"Th0","COX7A2L"
0.083455340317901,-0.112579357847783,0.443,0.512,1,"Th0","CREB3"
0.0835087674586335,0.177380278323634,0.55,0.501,1,"Th0","MAP2K2"
0.084569893967974,-0.114550730477204,0.725,0.732,1,"Th0","MRPS12"
0.0846121777190152,-0.102921663508302,0.221,0.275,1,"Th0","RP11-138A9.2"
0.0847031856343506,0.226953433530884,0.908,0.865,1,"Th0","CD74"
0.084985022874207,0.112150126845014,0.55,0.488,1,"Th0","CENPU"
0.0857320277448353,-0.167869729831093,0.443,0.466,1,"Th0","SYNGR2"
0.085868838204755,-0.152970581790582,0.366,0.43,1,"Th0","CCDC64B"
0.0872200753132295,0.119400392723643,0.542,0.472,1,"Th0","SNRNP25"
0.0876401958363692,0.123548326072273,0.962,0.93,1,"Th0","ACAP1"
0.0877200346404996,-0.142445369130114,0.847,0.847,1,"Th0","ALDOC"
0.087880220390967,-0.103554648973012,0.405,0.45,1,"Th0","MRPS9"
0.0879668730146361,-0.186453719515622,0.534,0.609,1,"Th0","GK"
0.0882189047558597,-0.106732352239958,0.45,0.504,1,"Th0","BRMS1"
0.0890217507743864,0.115446619905006,0.557,0.491,1,"Th0","CEBPZOS"
0.0890727389774003,-0.108595128753588,0.649,0.72,1,"Th0","INSIG2"
0.0894556338255148,-0.105888220038156,0.443,0.486,1,"Th0","GTF2F2"
0.0897213923607187,-0.108690981203074,0.603,0.626,1,"Th0","SLU7"
0.089782499303189,-0.154352462447656,0.855,0.862,1,"Th0","MRPS6"
0.0898649671625554,0.146494539799932,0.229,0.175,1,"Th0","TJP2"
0.0901986234177148,0.103420198769913,0.519,0.455,1,"Th0","PPP6R1"
0.0903649157645229,-0.114242641844201,0.954,0.938,1,"Th0","C1QBP"
0.0908146027631472,-0.195552801607435,0.557,0.59,1,"Th0","TUBA1C"
0.0910139428584809,-0.151251681989778,0.71,0.766,1,"Th0","EIF4EBP1"
0.0910924975515591,-0.109597168111016,0.641,0.681,1,"Th0","MRPL37"
0.0917421105418854,0.103321844591164,0.573,0.506,1,"Th0","EXOSC9"
0.0922408788036975,-0.111635530155277,0.748,0.77,1,"Th0","PYURF"
0.0925441438739381,-0.113698340813087,0.595,0.612,1,"Th0","RTN3"
0.0927375415748085,-0.100850601386523,0.977,0.98,1,"Th0","HSP90AA1"
0.0933873617092559,-0.111270310161244,0.313,0.364,1,"Th0","ASCC1"
0.0938836192372774,0.10473997284919,0.962,0.924,1,"Th0","COX7B"
0.0942231936282649,0.100042789623499,0.702,0.616,1,"Th0","ADRM1"
0.0943658489618101,-0.140056471345802,0.794,0.832,1,"Th0","PDCD10"
0.0953040620575434,-0.129369709689028,0.893,0.94,1,"Th0","MTHFD2"
0.0954431754364822,-0.109053007691416,0.412,0.435,1,"Th0","MAPK1"
0.0955626485102404,0.105815261705527,0.718,0.629,1,"Th0","MGEA5"
0.09557818876052,-0.11001765995904,0.191,0.244,1,"Th0","CORO1C"
0.0955907708186108,0.206066390827485,0.618,0.526,1,"Th0","PTGER4"
0.0956217024756814,-0.124443817560577,0.389,0.438,1,"Th0","AEBP2"
0.0959819116754653,-0.111373126164454,0.641,0.686,1,"Th0","FAM177A1"
0.0960468093422847,-0.111821248021407,0.435,0.503,1,"Th0","KLHDC2"
0.0964668974727315,-0.116848677280415,0.435,0.467,1,"Th0","NT5DC1"
0.0966975698778187,0.107854604139797,0.863,0.862,1,"Th0","VAMP8"
0.0973232491111618,-0.101867602208179,0.328,0.375,1,"Th0","CUL1"
0.0974461268689948,0.107754170209614,0.718,0.642,1,"Th0","NSRP1"
0.0975334253880043,0.109355460415895,0.45,0.392,1,"Th0","U2AF1L4"
0.0981682551434035,-0.103106924533063,0.267,0.335,1,"Th0","RP11-390F4.3"
