"","group_iTreg","group_Th17","group_Th2","group_Th0"
"AIMP1",0.33184455186639,-0.105524488407624,-0.154451879111305,-0.287190770517721
"PPM1K",-0.341255998643497,0.126209991514243,NA,0.299278921039238
"CNPY2",-0.311309012365295,NA,0.14753934076477,0.26311481457229
"BNIP3",0.386836783165423,-0.282195975422359,-0.292706313689955,-0.379662266571147
"ITM2A",0.371116867939734,-0.317145210652884,-0.190724012418441,NA
"H3F3A",-0.520751163380083,0.139248108922066,0.297828913180656,0.231339559839804
"COX20",0.339631908654851,-0.107484639890539,-0.170748044639994,-0.276645319174004
"LPXN",0.342217784942057,-0.175929576066541,-0.230446982524132,NA
"DYNLT1",-0.353235795709013,NA,0.187029408940588,0.340927809494181
"GLIPR1",0.299606742077975,NA,-0.305621429891849,-0.174550024505065
"RAB8B",0.471709257688004,-0.450400997057994,NA,NA
"PRKDC",-0.380305311413559,NA,0.342119098149296,0.273127961241165
"DDX46",-0.333564025341272,0.105320624386116,0.197946599262142,0.13278753071586
"CLK3",0.270038380136719,-0.133299016796642,-0.177141842351942,NA
"ADTRP",0.373954379830003,NA,-0.350716629536823,-0.365869495882183
"FMNL1",0.32061416486908,-0.18903406964948,-0.222914792985801,NA
"DDIT4",0.436649546612021,0.269479059232931,-0.679063182826956,-0.706763346115618
"PCBP1",0.292870101232742,NA,-0.343197490689403,-0.106811962066065
"EIF4A2",0.302276089701813,-0.147503953455629,-0.142324260370209,-0.149232864213165
"EIF4B",-0.385197195993819,-0.114733370335764,0.466856270567275,0.200696436236798
